S,Masker,Talker,WordType,Amplitude,Electrode
7002,Scrambled,Different,Color,-0.222863624309798,Fp1
7002,Scrambled,Different,Object,-0.573850110194237,Fp1
7002,Scrambled,Same,Color,0.328585466144063,Fp1
7002,Scrambled,Same,Object,-0.0131922285034093,Fp1
7002,Unscrambled,Different,Color,-0.398793657550888,Fp1
7002,Unscrambled,Different,Object,-0.429491108370175,Fp1
7002,Unscrambled,Same,Color,-0.373594427780037,Fp1
7002,Unscrambled,Same,Object,-0.686707745429148,Fp1
7002,Scrambled,Different,Color,-0.222863624309798,AF3
7002,Scrambled,Different,Object,-0.573850110194237,AF3
7002,Scrambled,Same,Color,0.328585466144063,AF3
7002,Scrambled,Same,Object,-0.0131922285034093,AF3
7002,Unscrambled,Different,Color,-0.398793657550888,AF3
7002,Unscrambled,Different,Object,-0.429491108370175,AF3
7002,Unscrambled,Same,Color,-0.373594427780037,AF3
7002,Unscrambled,Same,Object,-0.686707745429148,AF3
7002,Scrambled,Different,Color,-0.222863624309798,F7
7002,Scrambled,Different,Object,-0.573850110194237,F7
7002,Scrambled,Same,Color,0.328585466144063,F7
7002,Scrambled,Same,Object,-0.0131922285034093,F7
7002,Unscrambled,Different,Color,-0.398793657550888,F7
7002,Unscrambled,Different,Object,-0.429491108370175,F7
7002,Unscrambled,Same,Color,-0.373594427780037,F7
7002,Unscrambled,Same,Object,-0.686707745429148,F7
7002,Scrambled,Different,Color,-0.222863624309798,F3
7002,Scrambled,Different,Object,-0.573850110194237,F3
7002,Scrambled,Same,Color,0.328585466144063,F3
7002,Scrambled,Same,Object,-0.0131922285034093,F3
7002,Unscrambled,Different,Color,-0.398793657550888,F3
7002,Unscrambled,Different,Object,-0.429491108370175,F3
7002,Unscrambled,Same,Color,-0.373594427780037,F3
7002,Unscrambled,Same,Object,-0.686707745429148,F3
7002,Scrambled,Different,Color,-0.222863624309798,FC1
7002,Scrambled,Different,Object,-0.573850110194237,FC1
7002,Scrambled,Same,Color,0.328585466144063,FC1
7002,Scrambled,Same,Object,-0.0131922285034093,FC1
7002,Unscrambled,Different,Color,-0.398793657550888,FC1
7002,Unscrambled,Different,Object,-0.429491108370175,FC1
7002,Unscrambled,Same,Color,-0.373594427780037,FC1
7002,Unscrambled,Same,Object,-0.686707745429148,FC1
7002,Scrambled,Different,Color,-0.222863624309798,FC5
7002,Scrambled,Different,Object,-0.573850110194237,FC5
7002,Scrambled,Same,Color,0.328585466144063,FC5
7002,Scrambled,Same,Object,-0.0131922285034093,FC5
7002,Unscrambled,Different,Color,-0.398793657550888,FC5
7002,Unscrambled,Different,Object,-0.429491108370175,FC5
7002,Unscrambled,Same,Color,-0.373594427780037,FC5
7002,Unscrambled,Same,Object,-0.686707745429148,FC5
7002,Scrambled,Different,Color,-0.222863624309798,T7
7002,Scrambled,Different,Object,-0.573850110194237,T7
7002,Scrambled,Same,Color,0.328585466144063,T7
7002,Scrambled,Same,Object,-0.0131922285034093,T7
7002,Unscrambled,Different,Color,-0.398793657550888,T7
7002,Unscrambled,Different,Object,-0.429491108370175,T7
7002,Unscrambled,Same,Color,-0.373594427780037,T7
7002,Unscrambled,Same,Object,-0.686707745429148,T7
7002,Scrambled,Different,Color,-0.222863624309798,C3
7002,Scrambled,Different,Object,-0.573850110194237,C3
7002,Scrambled,Same,Color,0.328585466144063,C3
7002,Scrambled,Same,Object,-0.0131922285034093,C3
7002,Unscrambled,Different,Color,-0.398793657550888,C3
7002,Unscrambled,Different,Object,-0.429491108370175,C3
7002,Unscrambled,Same,Color,-0.373594427780037,C3
7002,Unscrambled,Same,Object,-0.686707745429148,C3
7002,Scrambled,Different,Color,-0.222863624309798,CP1
7002,Scrambled,Different,Object,-0.573850110194237,CP1
7002,Scrambled,Same,Color,0.328585466144063,CP1
