S,Masker,Talker,WordType,Amplitude
7047,Scrambled,Same,Color,-2.81843678174875
7047,Scrambled,Same,Object,-1.46271444179563
7047,Unscrambled,Different,Color,-3.32446778130125
7047,Unscrambled,Different,Object,-1.58037029207412
7047,Unscrambled,Same,Color,-1.09189131838183
7047,Unscrambled,Same,Object,-1.4115135156297
7048,Scrambled,Different,Color,-0.993656756760022
7048,Scrambled,Different,Object,-0.224597062534115
7048,Scrambled,Same,Color,-1.49494878975225
7048,Scrambled,Same,Object,-0.500153333974605
7048,Unscrambled,Different,Color,-1.89155130716073
7048,Unscrambled,Different,Object,-0.733862396981942
7048,Unscrambled,Same,Color,-0.346684453779706
7048,Unscrambled,Same,Object,-1.22200285763138
7049,Scrambled,Different,Color,-3.09397047383072
7049,Scrambled,Different,Object,-1.70576409982523
7049,Scrambled,Same,Color,-3.64060208318963
7049,Scrambled,Same,Object,-1.84506506125032
7049,Unscrambled,Different,Color,-1.87258371757456
7049,Unscrambled,Different,Object,-0.107427532723998
7049,Unscrambled,Same,Color,-1.24401118676563
7049,Unscrambled,Same,Object,0.356106157422761
7050,Scrambled,Different,Color,-0.322952578776078
7050,Scrambled,Different,Object,-0.221945394750619
7050,Scrambled,Same,Color,-0.458547010351778
7050,Scrambled,Same,Object,-0.321999448147738
7050,Unscrambled,Different,Color,-0.362040091821473
7050,Unscrambled,Different,Object,0.111086581730216
7050,Unscrambled,Same,Color,-0.0453025232912221
7050,Unscrambled,Same,Object,0.0884206119188032
7064,Scrambled,Different,Color,-4.95371330385857
7064,Scrambled,Different,Object,-1.59272674501262
7064,Scrambled,Same,Color,-3.12604345336212
7064,Scrambled,Same,Object,-1.78882144148531
7064,Unscrambled,Different,Color,-1.79956950539639
7064,Unscrambled,Different,Object,-1.02392137044589
7064,Unscrambled,Same,Color,0.193907728510367
7064,Unscrambled,Same,Object,-0.686101152534864
7081,Scrambled,Different,Color,-8.03981651669843
7081,Scrambled,Different,Object,-4.65795381860953
7081,Scrambled,Same,Color,-7.83361379274476
7081,Scrambled,Same,Object,-5.31523394655024
7081,Unscrambled,Different,Color,-5.44820271399143
7081,Unscrambled,Different,Object,-3.40534905884609
7081,Unscrambled,Same,Color,-3.93563609570817
7081,Unscrambled,Same,Object,-0.994547756710602
