S,Masker,Talker,WordType,Amplitude,Electrode
7056,Scrambled,Different,Color,-4.15136836495624,Fp1
7056,Scrambled,Different,Object,-1.40996004257323,Fp1
7056,Scrambled,Same,Color,-3.45185412632606,Fp1
7056,Scrambled,Same,Object,-1.81896729704088,Fp1
7056,Unscrambled,Different,Color,-1.37029886831399,Fp1
7056,Unscrambled,Different,Object,-0.00339990424637415,Fp1
7056,Unscrambled,Same,Color,-1.24599984447569,Fp1
7056,Unscrambled,Same,Object,-1.41998156036645,Fp1
7056,Scrambled,Different,Color,-4.15136836495624,AF3
7056,Scrambled,Different,Object,-1.40996004257323,AF3
7056,Scrambled,Same,Color,-3.45185412632606,AF3
7056,Scrambled,Same,Object,-1.81896729704088,AF3
7056,Unscrambled,Different,Color,-1.37029886831399,AF3
7056,Unscrambled,Different,Object,-0.00339990424637415,AF3
7056,Unscrambled,Same,Color,-1.24599984447569,AF3
7056,Unscrambled,Same,Object,-1.41998156036645,AF3
7056,Scrambled,Different,Color,-4.15136836495624,F7
7056,Scrambled,Different,Object,-1.40996004257323,F7
7056,Scrambled,Same,Color,-3.45185412632606,F7
7056,Scrambled,Same,Object,-1.81896729704088,F7
7056,Unscrambled,Different,Color,-1.37029886831399,F7
7056,Unscrambled,Different,Object,-0.00339990424637415,F7
7056,Unscrambled,Same,Color,-1.24599984447569,F7
7056,Unscrambled,Same,Object,-1.41998156036645,F7
7056,Scrambled,Different,Color,-4.15136836495624,F3
7056,Scrambled,Different,Object,-1.40996004257323,F3
7056,Scrambled,Same,Color,-3.45185412632606,F3
7056,Scrambled,Same,Object,-1.81896729704088,F3
7056,Unscrambled,Different,Color,-1.37029886831399,F3
7056,Unscrambled,Different,Object,-0.00339990424637415,F3
7056,Unscrambled,Same,Color,-1.24599984447569,F3
7056,Unscrambled,Same,Object,-1.41998156036645,F3
7056,Scrambled,Different,Color,-4.15136836495624,FC1
7056,Scrambled,Different,Object,-1.40996004257323,FC1
7056,Scrambled,Same,Color,-3.45185412632606,FC1
7056,Scrambled,Same,Object,-1.81896729704088,FC1
7056,Unscrambled,Different,Color,-1.37029886831399,FC1
7056,Unscrambled,Different,Object,-0.00339990424637415,FC1
7056,Unscrambled,Same,Color,-1.24599984447569,FC1
7056,Unscrambled,Same,Object,-1.41998156036645,FC1
7056,Scrambled,Different,Color,-4.15136836495624,FC5
7056,Scrambled,Different,Object,-1.40996004257323,FC5
7056,Scrambled,Same,Color,-3.45185412632606,FC5
7056,Scrambled,Same,Object,-1.81896729704088,FC5
7056,Unscrambled,Different,Color,-1.37029886831399,FC5
7056,Unscrambled,Different,Object,-0.00339990424637415,FC5
7056,Unscrambled,Same,Color,-1.24599984447569,FC5
7056,Unscrambled,Same,Object,-1.41998156036645,FC5
7056,Scrambled,Different,Color,-4.15136836495624,T7
7056,Scrambled,Different,Object,-1.40996004257323,T7
7056,Scrambled,Same,Color,-3.45185412632606,T7
7056,Scrambled,Same,Object,-1.81896729704088,T7
7056,Unscrambled,Different,Color,-1.37029886831399,T7
7056,Unscrambled,Different,Object,-0.00339990424637415,T7
7056,Unscrambled,Same,Color,-1.24599984447569,T7
7056,Unscrambled,Same,Object,-1.41998156036645,T7
7056,Scrambled,Different,Color,-4.15136836495624,C3
7056,Scrambled,Different,Object,-1.40996004257323,C3
7056,Scrambled,Same,Color,-3.45185412632606,C3
7056,Scrambled,Same,Object,-1.81896729704088,C3
7056,Unscrambled,Different,Color,-1.37029886831399,C3
7056,Unscrambled,Different,Object,-0.00339990424637415,C3
7056,Unscrambled,Same,Color,-1.24599984447569,C3
7056,Unscrambled,Same,Object,-1.41998156036645,C3
7056,Scrambled,Different,Color,-4.15136836495624,CP1
7056,Scrambled,Different,Object,-1.40996004257323,CP1
7056,Scrambled,Same,Color,-3.45185412632606,CP1
7056,Scrambled,Same,Object,-1.81896729704088,CP1
7056,Unscrambled,Different,Color,-1.37029886831399,CP1
7056,Unscrambled,Different,Object,-0.00339990424637415,CP1
7056,Unscrambled,Same,Color,-1.24599984447569,CP1
7056,Unscrambled,Same,Object,-1.41998156036645,CP1
7056,Scrambled,Different,Color,-4.15136836495624,CP5
7056,Scrambled,Different,Object,-1.40996004257323,CP5
7056,Scrambled,Same,Color,-3.45185412632606,CP5
7056,Scrambled,Same,Object,-1.81896729704088,CP5
7056,Unscrambled,Different,Color,-1.37029886831399,CP5
7056,Unscrambled,Different,Object,-0.00339990424637415,CP5
7056,Unscrambled,Same,Color,-1.24599984447569,CP5
7056,Unscrambled,Same,Object,-1.41998156036645,CP5
7056,Scrambled,Different,Color,-4.15136836495624,P7
7056,Scrambled,Different,Object,-1.40996004257323,P7
7056,Scrambled,Same,Color,-3.45185412632606,P7
7056,Scrambled,Same,Object,-1.81896729704088,P7
7056,Unscrambled,Different,Color,-1.37029886831399,P7
7056,Unscrambled,Different,Object,-0.00339990424637415,P7
7056,Unscrambled,Same,Color,-1.24599984447569,P7
7056,Unscrambled,Same,Object,-1.41998156036645,P7
7056,Scrambled,Different,Color,-4.15136836495624,P3
7056,Scrambled,Different,Object,-1.40996004257323,P3
7056,Scrambled,Same,Color,-3.45185412632606,P3
7056,Scrambled,Same,Object,-1.81896729704088,P3
7056,Unscrambled,Different,Color,-1.37029886831399,P3
7056,Unscrambled,Different,Object,-0.00339990424637415,P3
7056,Unscrambled,Same,Color,-1.24599984447569,P3
7056,Unscrambled,Same,Object,-1.41998156036645,P3
7056,Scrambled,Different,Color,-4.15136836495624,Pz
7056,Scrambled,Different,Object,-1.40996004257323,Pz
7056,Scrambled,Same,Color,-3.45185412632606,Pz
7056,Scrambled,Same,Object,-1.81896729704088,Pz
7056,Unscrambled,Different,Color,-1.37029886831399,Pz
7056,Unscrambled,Different,Object,-0.00339990424637415,Pz
7056,Unscrambled,Same,Color,-1.24599984447569,Pz
7056,Unscrambled,Same,Object,-1.41998156036645,Pz
7056,Scrambled,Different,Color,-4.15136836495624,PO3
7056,Scrambled,Different,Object,-1.40996004257323,PO3
7056,Scrambled,Same,Color,-3.45185412632606,PO3
7056,Scrambled,Same,Object,-1.81896729704088,PO3
7056,Unscrambled,Different,Color,-1.37029886831399,PO3
7056,Unscrambled,Different,Object,-0.00339990424637415,PO3
7056,Unscrambled,Same,Color,-1.24599984447569,PO3
7056,Unscrambled,Same,Object,-1.41998156036645,PO3
7056,Scrambled,Different,Color,-4.15136836495624,O1
7056,Scrambled,Different,Object,-1.40996004257323,O1
7056,Scrambled,Same,Color,-3.45185412632606,O1
7056,Scrambled,Same,Object,-1.81896729704088,O1
7056,Unscrambled,Different,Color,-1.37029886831399,O1
7056,Unscrambled,Different,Object,-0.00339990424637415,O1
7056,Unscrambled,Same,Color,-1.24599984447569,O1
7056,Unscrambled,Same,Object,-1.41998156036645,O1
7056,Scrambled,Different,Color,-4.15136836495624,Oz
7056,Scrambled,Different,Object,-1.40996004257323,Oz
7056,Scrambled,Same,Color,-3.45185412632606,Oz
