S,Masker,Talker,WordType,Amplitude,Electrode
7056,Scrambled,Different,Color,0.53149558453931,Fp1
7056,Scrambled,Different,Object,0.0734189005122275,Fp1
7056,Scrambled,Same,Color,0.0292374604665067,Fp1
7056,Scrambled,Same,Object,0.402133823381716,Fp1
7056,Unscrambled,Different,Color,1.39153336519213,Fp1
7056,Unscrambled,Different,Object,0.0906058241929251,Fp1
7056,Unscrambled,Same,Color,-0.187051952278509,Fp1
7056,Unscrambled,Same,Object,0.292748727937688,Fp1
7056,Scrambled,Different,Color,0.53149558453931,AF3
7056,Scrambled,Different,Object,0.0734189005122275,AF3
7056,Scrambled,Same,Color,0.0292374604665067,AF3
7056,Scrambled,Same,Object,0.402133823381716,AF3
7056,Unscrambled,Different,Color,1.39153336519213,AF3
7056,Unscrambled,Different,Object,0.0906058241929251,AF3
7056,Unscrambled,Same,Color,-0.187051952278509,AF3
7056,Unscrambled,Same,Object,0.292748727937688,AF3
7056,Scrambled,Different,Color,0.53149558453931,F7
7056,Scrambled,Different,Object,0.0734189005122275,F7
7056,Scrambled,Same,Color,0.0292374604665067,F7
7056,Scrambled,Same,Object,0.402133823381716,F7
7056,Unscrambled,Different,Color,1.39153336519213,F7
7056,Unscrambled,Different,Object,0.0906058241929251,F7
7056,Unscrambled,Same,Color,-0.187051952278509,F7
7056,Unscrambled,Same,Object,0.292748727937688,F7
7056,Scrambled,Different,Color,0.53149558453931,F3
7056,Scrambled,Different,Object,0.0734189005122275,F3
7056,Scrambled,Same,Color,0.0292374604665067,F3
7056,Scrambled,Same,Object,0.402133823381716,F3
7056,Unscrambled,Different,Color,1.39153336519213,F3
7056,Unscrambled,Different,Object,0.0906058241929251,F3
7056,Unscrambled,Same,Color,-0.187051952278509,F3
7056,Unscrambled,Same,Object,0.292748727937688,F3
7056,Scrambled,Different,Color,0.53149558453931,FC1
7056,Scrambled,Different,Object,0.0734189005122275,FC1
7056,Scrambled,Same,Color,0.0292374604665067,FC1
7056,Scrambled,Same,Object,0.402133823381716,FC1
7056,Unscrambled,Different,Color,1.39153336519213,FC1
7056,Unscrambled,Different,Object,0.0906058241929251,FC1
7056,Unscrambled,Same,Color,-0.187051952278509,FC1
7056,Unscrambled,Same,Object,0.292748727937688,FC1
7056,Scrambled,Different,Color,0.53149558453931,FC5
7056,Scrambled,Different,Object,0.0734189005122275,FC5
7056,Scrambled,Same,Color,0.0292374604665067,FC5
7056,Scrambled,Same,Object,0.402133823381716,FC5
7056,Unscrambled,Different,Color,1.39153336519213,FC5
7056,Unscrambled,Different,Object,0.0906058241929251,FC5
7056,Unscrambled,Same,Color,-0.187051952278509,FC5
7056,Unscrambled,Same,Object,0.292748727937688,FC5
7056,Scrambled,Different,Color,0.53149558453931,T7
7056,Scrambled,Different,Object,0.0734189005122275,T7
7056,Scrambled,Same,Color,0.0292374604665067,T7
7056,Scrambled,Same,Object,0.402133823381716,T7
7056,Unscrambled,Different,Color,1.39153336519213,T7
7056,Unscrambled,Different,Object,0.0906058241929251,T7
7056,Unscrambled,Same,Color,-0.187051952278509,T7
7056,Unscrambled,Same,Object,0.292748727937688,T7
7056,Scrambled,Different,Color,0.53149558453931,C3
7056,Scrambled,Different,Object,0.0734189005122275,C3
7056,Scrambled,Same,Color,0.0292374604665067,C3
7056,Scrambled,Same,Object,0.402133823381716,C3
