S,Masker,Talker,WordType,Amplitude,Electrode
7002,Scrambled,Different,Color,-0.397909510972243,Fp1
7002,Scrambled,Different,Object,-0.551699726967283,Fp1
7002,Scrambled,Same,Color,0.371190444685268,Fp1
7002,Scrambled,Same,Object,0.198887309725654,Fp1
7002,Unscrambled,Different,Color,-0.166182631299799,Fp1
7002,Unscrambled,Different,Object,-0.276722745012673,Fp1
7002,Unscrambled,Same,Color,-0.202519718437716,Fp1
7002,Unscrambled,Same,Object,-0.604054173942622,Fp1
7002,Scrambled,Different,Color,-0.397909510972243,AF3
7002,Scrambled,Different,Object,-0.551699726967283,AF3
7002,Scrambled,Same,Color,0.371190444685268,AF3
7002,Scrambled,Same,Object,0.198887309725654,AF3
7002,Unscrambled,Different,Color,-0.166182631299799,AF3
7002,Unscrambled,Different,Object,-0.276722745012673,AF3
7002,Unscrambled,Same,Color,-0.202519718437716,AF3
7002,Unscrambled,Same,Object,-0.604054173942622,AF3
7002,Scrambled,Different,Color,-0.397909510972243,F7
7002,Scrambled,Different,Object,-0.551699726967283,F7
7002,Scrambled,Same,Color,0.371190444685268,F7
7002,Scrambled,Same,Object,0.198887309725654,F7
7002,Unscrambled,Different,Color,-0.166182631299799,F7
7002,Unscrambled,Different,Object,-0.276722745012673,F7
7002,Unscrambled,Same,Color,-0.202519718437716,F7
7002,Unscrambled,Same,Object,-0.604054173942622,F7
7002,Scrambled,Different,Color,-0.397909510972243,F3
7002,Scrambled,Different,Object,-0.551699726967283,F3
7002,Scrambled,Same,Color,0.371190444685268,F3
7002,Scrambled,Same,Object,0.198887309725654,F3
7002,Unscrambled,Different,Color,-0.166182631299799,F3
7002,Unscrambled,Different,Object,-0.276722745012673,F3
7002,Unscrambled,Same,Color,-0.202519718437716,F3
7002,Unscrambled,Same,Object,-0.604054173942622,F3
7002,Scrambled,Different,Color,-0.397909510972243,FC1
7002,Scrambled,Different,Object,-0.551699726967283,FC1
7002,Scrambled,Same,Color,0.371190444685268,FC1
7002,Scrambled,Same,Object,0.198887309725654,FC1
7002,Unscrambled,Different,Color,-0.166182631299799,FC1
7002,Unscrambled,Different,Object,-0.276722745012673,FC1
7002,Unscrambled,Same,Color,-0.202519718437716,FC1
7002,Unscrambled,Same,Object,-0.604054173942622,FC1
7002,Scrambled,Different,Color,-0.397909510972243,FC5
7002,Scrambled,Different,Object,-0.551699726967283,FC5
7002,Scrambled,Same,Color,0.371190444685268,FC5
7002,Scrambled,Same,Object,0.198887309725654,FC5
7002,Unscrambled,Different,Color,-0.166182631299799,FC5
7002,Unscrambled,Different,Object,-0.276722745012673,FC5
7002,Unscrambled,Same,Color,-0.202519718437716,FC5
7002,Unscrambled,Same,Object,-0.604054173942622,FC5
7002,Scrambled,Different,Color,-0.397909510972243,T7
7002,Scrambled,Different,Object,-0.551699726967283,T7
7002,Scrambled,Same,Color,0.371190444685268,T7
7002,Scrambled,Same,Object,0.198887309725654,T7
7002,Unscrambled,Different,Color,-0.166182631299799,T7
7002,Unscrambled,Different,Object,-0.276722745012673,T7
7002,Unscrambled,Same,Color,-0.202519718437716,T7
7002,Unscrambled,Same,Object,-0.604054173942622,T7
7002,Scrambled,Different,Color,-0.397909510972243,C3
7002,Scrambled,Different,Object,-0.551699726967283,C3
7002,Scrambled,Same,Color,0.371190444685268,C3
7002,Scrambled,Same,Object,0.198887309725654,C3
7002,Unscrambled,Different,Color,-0.166182631299799,C3
7002,Unscrambled,Different,Object,-0.276722745012673,C3
7002,Unscrambled,Same,Color,-0.202519718437716,C3
7002,Unscrambled,Same,Object,-0.604054173942622,C3
7002,Scrambled,Different,Color,-0.397909510972243,CP1
7002,Scrambled,Different,Object,-0.551699726967283,CP1
7002,Scrambled,Same,Color,0.371190444685268,CP1
7002,Scrambled,Same,Object,0.198887309725654,CP1
7002,Unscrambled,Different,Color,-0.166182631299799,CP1
7002,Unscrambled,Different,Object,-0.276722745012673,CP1
